dataHoraCotacao,cotacaoCompra,cotacaoVenda
2023-02-27,5.1954,5.196
2023-04-10,5.0828,5.0834
2023-05-02,5.0329,5.0334
2023-10-05,5.1707,5.1713
2023-10-11,5.049,5.0496
2023-04-05,5.0441,5.0447
2023-01-23,5.1916,5.1922
2023-02-23,5.1324,5.133
2023-02-24,5.1785,5.1791
2023-03-30,5.1248,5.1254
2023-10-09,5.166,5.1666
2023-02-16,5.2426,5.2432
2023-10-10,5.0856,5.0862
2023-05-04,5.01,5.0106
2023-10-23,5.0158,5.0164
2023-02-07,5.1689,5.1695
2023-03-03,5.2031,5.2037
2023-01-05,5.402,5.4026
2023-05-25,4.9984,4.999
2023-01-12,5.1394,5.14
2023-10-24,5.0059,5.0065
2023-10-25,4.9975,4.9981
2023-03-29,5.1487,5.1493
2023-01-19,5.2138,5.2144
2023-02-06,5.1757,5.1763
2023-01-26,5.0945,5.0951
2023-04-24,5.0589,5.0595
2023-02-09,5.2309,5.2315
2023-03-16,5.2886,5.2892
2023-01-10,5.2389,5.2395
2023-03-31,5.0798,5.0804
2023-03-09,5.1347,5.1353
2023-01-04,5.4453,5.4459
2023-02-14,5.1501,5.1507
2023-10-02,5.0673,5.0679
2023-03-07,5.1895,5.1901
2023-03-14,5.2356,5.2362
2023-01-20,5.198,5.1986
2023-03-08,5.1381,5.1387
2023-03-22,5.2642,5.2648
2023-02-17,5.2006,5.2012
2023-03-10,5.1816,5.1822
2023-01-18,5.0903,5.0909
2023-02-10,5.252,5.2526
2023-02-28,5.2072,5.2078
2023-05-29,4.9948,4.9954
2023-10-18,5.0562,5.0568
2023-01-11,5.2014,5.202
2023-05-26,5.0108,5.0114
2023-10-16,5.0612,5.0618
2023-09-27,5.0283,5.0289
2023-03-17,5.2673,5.2679
2023-02-13,5.1828,5.1834
2023-02-03,5.1024,5.103
2023-01-03,5.3753,5.3759
2023-04-28,5.0001,5.0007
2023-04-26,5.0579,5.0585
2023-09-28,5.0469,5.0475
2023-05-19,4.9852,4.9858
2023-05-31,5.0953,5.0959
2023-04-06,5.0677,5.0683
2023-03-02,5.2074,5.208
2023-10-31,5.0569,5.0575
2023-03-06,5.1964,5.197
2023-04-03,5.0631,5.0637
2023-01-17,5.1197,5.1203
2023-05-09,5.0001,5.0007
2023-01-25,5.1036,5.1042
2023-10-30,5.0068,5.0074
2023-05-03,5.0221,5.0227
2023-02-02,4.9895,4.9901
2023-02-15,5.2237,5.2243
2023-03-13,5.2394,5.24
2023-03-01,5.2064,5.207
2023-04-27,5.0144,5.015
2023-10-13,5.0619,5.0625
2023-11-01,5.0188,5.0194
2023-01-02,5.343,5.3436
2023-01-31,5.0987,5.0993
2023-10-04,5.152,5.1526
2023-03-24,5.2915,5.2921
2023-04-25,5.0607,5.0613
2023-03-27,5.23,5.2306
2023-03-28,5.1727,5.1733
2023-04-11,5.0122,5.0128
2023-03-15,5.2975,5.2981
2023-10-19,5.0534,5.054
2023-05-30,5.0587,5.0593
2023-02-01,5.0715,5.0721
2023-01-24,5.169,5.1696
2023-10-03,5.1094,5.11
2023-04-04,5.0756,5.0762
2023-02-08,5.203,5.2036
2023-04-19,5.0461,5.0467
2023-01-30,5.0953,5.0959
2023-02-22,5.1724,5.173
2023-01-09,5.2961,5.2967
2023-10-26,5.0049,5.0055
2023-06-01,5.0344,5.035
2023-03-20,5.2461,5.2467
2023-04-20,5.0491,5.0497
2023-01-06,5.2849,5.2855
2023-01-16,5.1109,5.1115
2023-09-29,5.007,5.0076
2023-01-27,5.0761,5.0767
2023-10-20,5.0522,5.0528
2023-03-21,5.2438,5.2444
2023-01-13,5.114,5.1146
2023-03-23,5.2626,5.2632
2023-10-06,5.1912,5.1918
